# Run started=2026-07-13 20:23:22 graph=DBLP method=ReleaseV4 data_root=data graph_folder=data\DBLP query_file=query.txt run_subdir=default original_query_count=160 query_begin=1 query_limit=-1 query_count=160 result_dir=result\DBLP\ReleaseV4\default rss_mb=873.281 peak_rss_mb=873.285
query=83 best=7.6753625492 wall_ms=26081.770 rss_before_mb=895.258 rss_after_mb=895.258 peak_rss_mb=1499.105
query=84 best=7.9343144865 wall_ms=29305.871 rss_before_mb=895.258 rss_after_mb=895.258 peak_rss_mb=1499.105
query=85 best=8.1914933542 wall_ms=27390.338 rss_before_mb=895.258 rss_after_mb=895.258 peak_rss_mb=1499.105
query=86 best=7.7100504065 wall_ms=29932.611 rss_before_mb=895.258 rss_after_mb=895.258 peak_rss_mb=1503.445
query=87 best=7.9355558625 wall_ms=27801.835 rss_before_mb=895.258 rss_after_mb=895.258 peak_rss_mb=1503.445
query=88 best=8.5358438607 wall_ms=25635.151 rss_before_mb=895.258 rss_after_mb=895.258 peak_rss_mb=1503.445
query=89 best=7.7771535019 wall_ms=30780.520 rss_before_mb=895.258 rss_after_mb=895.258 peak_rss_mb=1503.445
query=90 best=8.2071385751 wall_ms=33175.259 rss_before_mb=895.258 rss_after_mb=895.258 peak_rss_mb=1503.445
query=91 best=6.8984548121 wall_ms=27426.182 rss_before_mb=895.258 rss_after_mb=895.258 peak_rss_mb=1503.445
query=92 best=7.0355684340 wall_ms=32203.147 rss_before_mb=895.258 rss_after_mb=895.258 peak_rss_mb=1503.445
query=93 best=7.4243083097 wall_ms=27602.561 rss_before_mb=895.258 rss_after_mb=895.258 peak_rss_mb=1503.445
query=94 best=7.1208023239 wall_ms=22341.829 rss_before_mb=895.258 rss_after_mb=895.258 peak_rss_mb=1503.445
query=95 best=6.3810996399 wall_ms=27959.665 rss_before_mb=895.258 rss_after_mb=895.258 peak_rss_mb=1503.445
query=96 best=6.3325286281 wall_ms=29946.489 rss_before_mb=895.258 rss_after_mb=895.258 peak_rss_mb=1503.445
query=97 best=6.9671317465 wall_ms=20150.765 rss_before_mb=895.258 rss_after_mb=895.258 peak_rss_mb=1503.445
query=98 best=6.9112859065 wall_ms=24003.421 rss_before_mb=895.258 rss_after_mb=895.266 peak_rss_mb=1503.445
query=99 best=6.4174273175 wall_ms=31262.421 rss_before_mb=895.266 rss_after_mb=895.266 peak_rss_mb=1503.453
query=100 best=6.8068227223 wall_ms=31765.546 rss_before_mb=895.266 rss_after_mb=895.266 peak_rss_mb=1503.453
