# Run started=2026-07-10 19:10:38 graph=Toronto method=ReleaseV1 data_root=data graph_folder=data\Toronto query_file=query.txt run_subdir=default original_query_count=160 query_begin=1 query_limit=-1 query_count=160 result_dir=result\Toronto\ReleaseV1\default rss_mb=15.832 peak_rss_mb=15.836
query=49 best=0.4065238184 n=46073 m=68353 g=6 saved_states=67920 peak_live_states=57401 group_dist_ms=59.365 tsp_ms=0.048 upper_ms=0.786 dp_ms=52.347 total_ms=112.698 wall_ms=116.500 rss_before_mb=16.578 rss_after_mb=16.574 peak_rss_mb=21.102
query=50 best=0.4304379047 n=46073 m=68353 g=6 saved_states=93843 peak_live_states=80278 group_dist_ms=61.621 tsp_ms=0.049 upper_ms=0.984 dp_ms=65.573 total_ms=128.345 wall_ms=132.433 rss_before_mb=16.574 rss_after_mb=16.227 peak_rss_mb=21.445
query=51 best=0.2235878540 n=46073 m=68353 g=6 saved_states=52503 peak_live_states=44272 group_dist_ms=73.180 tsp_ms=0.060 upper_ms=0.867 dp_ms=45.380 total_ms=119.745 wall_ms=123.897 rss_before_mb=16.227 rss_after_mb=16.578 peak_rss_mb=21.445
query=52 best=0.2221503030 n=46073 m=68353 g=6 saved_states=28230 peak_live_states=25643 group_dist_ms=63.908 tsp_ms=0.050 upper_ms=0.673 dp_ms=30.921 total_ms=95.779 wall_ms=99.632 rss_before_mb=16.578 rss_after_mb=16.547 peak_rss_mb=21.445
query=53 best=0.1993575349 n=46073 m=68353 g=6 saved_states=18143 peak_live_states=16123 group_dist_ms=60.318 tsp_ms=0.049 upper_ms=0.710 dp_ms=26.559 total_ms=87.848 wall_ms=91.686 rss_before_mb=16.547 rss_after_mb=16.523 peak_rss_mb=21.445
query=54 best=0.0374895228 n=46073 m=68353 g=6 saved_states=501 peak_live_states=413 group_dist_ms=61.861 tsp_ms=0.050 upper_ms=0.654 dp_ms=17.472 total_ms=80.237 wall_ms=84.066 rss_before_mb=16.527 rss_after_mb=16.160 peak_rss_mb=21.445
query=55 best=0.2212466317 n=46073 m=68353 g=6 saved_states=26711 peak_live_states=23094 group_dist_ms=60.060 tsp_ms=0.049 upper_ms=0.750 dp_ms=29.688 total_ms=90.730 wall_ms=94.120 rss_before_mb=16.160 rss_after_mb=16.188 peak_rss_mb=21.445
query=56 best=0.1706815201 n=46073 m=68353 g=6 saved_states=12450 peak_live_states=10888 group_dist_ms=60.544 tsp_ms=0.050 upper_ms=0.715 dp_ms=22.381 total_ms=83.897 wall_ms=87.405 rss_before_mb=16.188 rss_after_mb=16.547 peak_rss_mb=21.445
query=57 best=0.2376539469 n=46073 m=68353 g=6 saved_states=43493 peak_live_states=38970 group_dist_ms=63.869 tsp_ms=0.050 upper_ms=0.843 dp_ms=42.148 total_ms=107.214 wall_ms=111.028 rss_before_mb=16.547 rss_after_mb=16.191 peak_rss_mb=21.445
query=58 best=0.1963626791 n=46073 m=68353 g=6 saved_states=21715 peak_live_states=19244 group_dist_ms=63.959 tsp_ms=0.053 upper_ms=0.831 dp_ms=27.666 total_ms=92.737 wall_ms=96.549 rss_before_mb=16.191 rss_after_mb=16.188 peak_rss_mb=21.445
query=59 best=0.1322654011 n=46073 m=68353 g=6 saved_states=7027 peak_live_states=5519 group_dist_ms=61.226 tsp_ms=0.050 upper_ms=0.742 dp_ms=19.566 total_ms=81.821 wall_ms=85.399 rss_before_mb=16.188 rss_after_mb=16.203 peak_rss_mb=21.445
query=60 best=0.1730432160 n=46073 m=68353 g=6 saved_states=21412 peak_live_states=18925 group_dist_ms=61.609 tsp_ms=0.049 upper_ms=0.796 dp_ms=26.605 total_ms=89.317 wall_ms=93.062 rss_before_mb=16.203 rss_after_mb=16.215 peak_rss_mb=21.445
query=61 best=0.0368065233 n=46073 m=68353 g=6 saved_states=979 peak_live_states=854 group_dist_ms=69.353 tsp_ms=0.070 upper_ms=0.829 dp_ms=16.849 total_ms=87.587 wall_ms=91.369 rss_before_mb=16.215 rss_after_mb=16.211 peak_rss_mb=21.445
query=62 best=0.0796008275 n=46073 m=68353 g=6 saved_states=9896 peak_live_states=7853 group_dist_ms=74.730 tsp_ms=0.053 upper_ms=0.646 dp_ms=21.073 total_ms=96.946 wall_ms=101.953 rss_before_mb=16.211 rss_after_mb=16.203 peak_rss_mb=21.445
query=63 best=0.1375969823 n=46073 m=68353 g=6 saved_states=32125 peak_live_states=25426 group_dist_ms=67.383 tsp_ms=0.054 upper_ms=0.811 dp_ms=31.266 total_ms=99.934 wall_ms=103.761 rss_before_mb=16.203 rss_after_mb=16.527 peak_rss_mb=21.445
query=64 best=0.0527279247 n=46073 m=68353 g=6 saved_states=2630 peak_live_states=2187 group_dist_ms=62.936 tsp_ms=0.051 upper_ms=0.660 dp_ms=17.657 total_ms=81.638 wall_ms=85.450 rss_before_mb=16.527 rss_after_mb=16.172 peak_rss_mb=21.445
query=65 best=0.0933513213 n=46073 m=68353 g=6 saved_states=9274 peak_live_states=8417 group_dist_ms=61.919 tsp_ms=0.050 upper_ms=0.651 dp_ms=21.013 total_ms=83.954 wall_ms=87.422 rss_before_mb=16.172 rss_after_mb=16.191 peak_rss_mb=21.445
query=66 best=0.0502564580 n=46073 m=68353 g=6 saved_states=2300 peak_live_states=1987 group_dist_ms=60.111 tsp_ms=0.050 upper_ms=0.636 dp_ms=17.312 total_ms=78.487 wall_ms=81.931 rss_before_mb=16.191 rss_after_mb=16.547 peak_rss_mb=21.445
query=67 best=0.0837384775 n=46073 m=68353 g=6 saved_states=5263 peak_live_states=4828 group_dist_ms=61.619 tsp_ms=0.050 upper_ms=0.626 dp_ms=18.820 total_ms=81.464 wall_ms=84.975 rss_before_mb=16.605 rss_after_mb=16.605 peak_rss_mb=21.445
query=68 best=0.0499323752 n=46073 m=68353 g=6 saved_states=1893 peak_live_states=1773 group_dist_ms=64.027 tsp_ms=0.051 upper_ms=0.764 dp_ms=17.387 total_ms=82.633 wall_ms=86.130 rss_before_mb=16.605 rss_after_mb=16.602 peak_rss_mb=21.445
query=69 best=0.0258052635 n=46073 m=68353 g=6 saved_states=781 peak_live_states=630 group_dist_ms=61.464 tsp_ms=0.050 upper_ms=0.580 dp_ms=16.767 total_ms=79.220 wall_ms=82.835 rss_before_mb=16.602 rss_after_mb=16.605 peak_rss_mb=21.445
query=70 best=0.0723959429 n=46073 m=68353 g=6 saved_states=3921 peak_live_states=3659 group_dist_ms=60.753 tsp_ms=0.049 upper_ms=0.764 dp_ms=18.296 total_ms=80.170 wall_ms=83.586 rss_before_mb=16.605 rss_after_mb=16.297 peak_rss_mb=21.445
query=71 best=0.0173596329 n=46073 m=68353 g=6 saved_states=1363 peak_live_states=1179 group_dist_ms=66.292 tsp_ms=0.052 upper_ms=0.705 dp_ms=18.206 total_ms=86.019 wall_ms=89.525 rss_before_mb=16.297 rss_after_mb=16.285 peak_rss_mb=21.445
query=72 best=0.0257968268 n=46073 m=68353 g=6 saved_states=3322 peak_live_states=2932 group_dist_ms=70.651 tsp_ms=0.053 upper_ms=0.713 dp_ms=17.937 total_ms=90.015 wall_ms=93.710 rss_before_mb=16.285 rss_after_mb=16.309 peak_rss_mb=21.445
query=73 best=0.0324425477 n=46073 m=68353 g=6 saved_states=7489 peak_live_states=6552 group_dist_ms=70.641 tsp_ms=0.052 upper_ms=0.654 dp_ms=19.887 total_ms=91.883 wall_ms=95.563 rss_before_mb=16.309 rss_after_mb=16.320 peak_rss_mb=21.445
query=74 best=0.0391392828 n=46073 m=68353 g=6 saved_states=6358 peak_live_states=5399 group_dist_ms=67.648 tsp_ms=0.058 upper_ms=0.640 dp_ms=19.470 total_ms=88.447 wall_ms=92.245 rss_before_mb=16.320 rss_after_mb=16.328 peak_rss_mb=21.445
query=75 best=0.0391377066 n=46073 m=68353 g=6 saved_states=7084 peak_live_states=5936 group_dist_ms=68.949 tsp_ms=0.052 upper_ms=0.560 dp_ms=19.902 total_ms=90.085 wall_ms=94.055 rss_before_mb=16.328 rss_after_mb=16.336 peak_rss_mb=21.445
query=76 best=0.0425118888 n=46073 m=68353 g=6 saved_states=11890 peak_live_states=10576 group_dist_ms=63.161 tsp_ms=0.051 upper_ms=0.796 dp_ms=19.888 total_ms=84.542 wall_ms=88.234 rss_before_mb=16.336 rss_after_mb=16.336 peak_rss_mb=21.445
query=77 best=0.0304325892 n=46073 m=68353 g=6 saved_states=5775 peak_live_states=5407 group_dist_ms=58.215 tsp_ms=0.049 upper_ms=0.559 dp_ms=18.273 total_ms=77.666 wall_ms=81.100 rss_before_mb=16.336 rss_after_mb=16.336 peak_rss_mb=21.445
query=78 best=0.0091650571 n=46073 m=68353 g=6 saved_states=391 peak_live_states=330 group_dist_ms=82.507 tsp_ms=0.054 upper_ms=0.501 dp_ms=16.727 total_ms=100.458 wall_ms=107.691 rss_before_mb=16.336 rss_after_mb=16.328 peak_rss_mb=21.445
query=79 best=0.0130487700 n=46073 m=68353 g=6 saved_states=737 peak_live_states=649 group_dist_ms=70.355 tsp_ms=0.053 upper_ms=0.520 dp_ms=16.789 total_ms=88.391 wall_ms=92.073 rss_before_mb=16.328 rss_after_mb=16.332 peak_rss_mb=21.445
query=80 best=0.0177294900 n=46073 m=68353 g=6 saved_states=1508 peak_live_states=1311 group_dist_ms=66.311 tsp_ms=0.051 upper_ms=0.665 dp_ms=17.793 total_ms=85.548 wall_ms=89.384 rss_before_mb=16.332 rss_after_mb=16.328 peak_rss_mb=21.445
query=81 best=0.4377884576 n=46073 m=68353 g=7 saved_states=379790 peak_live_states=360420 group_dist_ms=68.064 tsp_ms=0.168 upper_ms=0.899 dp_ms=276.597 total_ms=345.901 wall_ms=350.369 rss_before_mb=16.328 rss_after_mb=16.453 peak_rss_mb=27.434
query=82 best=0.4112479218 n=46073 m=68353 g=7 saved_states=127486 peak_live_states=108568 group_dist_ms=69.471 tsp_ms=0.191 upper_ms=1.052 dp_ms=103.610 total_ms=174.518 wall_ms=178.703 rss_before_mb=16.453 rss_after_mb=16.820 peak_rss_mb=27.434
query=83 best=0.3942681668 n=46073 m=68353 g=7 saved_states=80743 peak_live_states=70696 group_dist_ms=68.523 tsp_ms=0.160 upper_ms=0.895 dp_ms=76.205 total_ms=145.911 wall_ms=149.963 rss_before_mb=16.820 rss_after_mb=16.465 peak_rss_mb=27.434
query=84 best=0.4161365456 n=46073 m=68353 g=7 saved_states=161631 peak_live_states=147966 group_dist_ms=75.256 tsp_ms=0.162 upper_ms=0.960 dp_ms=126.899 total_ms=203.450 wall_ms=207.739 rss_before_mb=16.465 rss_after_mb=16.824 peak_rss_mb=27.434
query=85 best=0.3528548005 n=46073 m=68353 g=7 saved_states=106943 peak_live_states=92590 group_dist_ms=69.008 tsp_ms=0.187 upper_ms=0.990 dp_ms=91.520 total_ms=161.879 wall_ms=166.047 rss_before_mb=16.824 rss_after_mb=16.469 peak_rss_mb=27.434
query=86 best=0.3831415377 n=46073 m=68353 g=7 saved_states=84998 peak_live_states=80230 group_dist_ms=68.274 tsp_ms=0.159 upper_ms=0.842 dp_ms=80.145 total_ms=149.651 wall_ms=153.654 rss_before_mb=16.469 rss_after_mb=16.465 peak_rss_mb=27.434
query=87 best=0.5381047740 n=46073 m=68353 g=7 saved_states=435103 peak_live_states=379866 group_dist_ms=74.438 tsp_ms=0.189 upper_ms=1.024 dp_ms=298.475 total_ms=374.293 wall_ms=379.208 rss_before_mb=16.465 rss_after_mb=16.484 peak_rss_mb=27.957
query=88 best=0.3181643078 n=46073 m=68353 g=7 saved_states=30501 peak_live_states=27699 group_dist_ms=68.452 tsp_ms=0.160 upper_ms=0.858 dp_ms=46.998 total_ms=116.673 wall_ms=120.531 rss_before_mb=16.484 rss_after_mb=16.512 peak_rss_mb=27.957
query=89 best=0.3640700996 n=46073 m=68353 g=7 saved_states=145690 peak_live_states=135186 group_dist_ms=71.487 tsp_ms=0.160 upper_ms=0.920 dp_ms=116.698 total_ms=189.490 wall_ms=193.753 rss_before_mb=16.512 rss_after_mb=16.473 peak_rss_mb=27.957
query=90 best=0.5175389663 n=46073 m=68353 g=7 saved_states=455759 peak_live_states=406117 group_dist_ms=68.814 tsp_ms=0.160 upper_ms=0.953 dp_ms=317.786 total_ms=387.888 wall_ms=392.548 rss_before_mb=16.473 rss_after_mb=16.785 peak_rss_mb=28.395
query=91 best=0.2583233795 n=46073 m=68353 g=7 saved_states=146066 peak_live_states=131984 group_dist_ms=66.949 tsp_ms=0.159 upper_ms=0.820 dp_ms=114.406 total_ms=182.597 wall_ms=186.797 rss_before_mb=16.785 rss_after_mb=16.402 peak_rss_mb=28.395
query=92 best=0.1021324835 n=46073 m=68353 g=7 saved_states=7344 peak_live_states=6813 group_dist_ms=73.639 tsp_ms=0.162 upper_ms=0.708 dp_ms=32.173 total_ms=107.022 wall_ms=110.985 rss_before_mb=16.402 rss_after_mb=16.461 peak_rss_mb=28.395
