query=133 V=209.8289910905 stage1_total=188972493 ltV=188199093 ltV2=55681478 ltV4=4286553 ltV8=301566
query=134 V=0.0000000000 stage1_total=1166696 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=135 V=0.0000000000 stage1_total=1166504 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=136 V=0.0000000000 stage1_total=1166496 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=137 V=223.5751410030 stage1_total=444435178 ltV=441828117 ltV2=134118396 ltV4=10333577 ltV8=549196
query=138 V=165.6852873655 stage1_total=188973696 ltV=186912786 ltV2=43785393 ltV4=3041768 ltV8=38008
query=139 V=-1 stage1_total=0 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=140 V=243.2370793692 stage1_total=188972461 ltV=188370226 ltV2=67970878 ltV4=8131309 ltV8=280020
query=141 V=102.1634111543 stage1_total=11664960 ltV=8942360 ltV2=1396623 ltV4=167920 ltV8=32
query=142 V=98.6474266028 stage1_total=11664984 ltV=9504120 ltV2=2107952 ltV4=194988 ltV8=210
query=143 V=82.3776746340 stage1_total=114316845 ltV=53237473 ltV2=2774157 ltV4=19442 ltV8=703
query=144 V=53.6230977849 stage1_total=29162989 ltV=7976583 ltV2=735390 ltV4=3574 ltV8=447
query=145 V=84.3408438095 stage1_total=29162955 ltV=17867905 ltV2=2790353 ltV4=29630 ltV8=1341
query=146 V=-1 stage1_total=0 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=147 V=97.9587765904 stage1_total=188972636 ltV=141804050 ltV2=11590071 ltV4=782269 ltV8=1645
query=148 V=131.6202690803 stage1_total=29162752 ltV=24877921 ltV2=5441715 ltV4=503682 ltV8=2051
query=149 V=0.0000000000 stage1_total=1166498 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=150 V=-1 stage1_total=0 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=151 V=132.8405840875 stage1_total=444435047 ltV=407094135 ltV2=36723393 ltV4=1096470 ltV8=1035
query=152 V=0.0000000000 stage1_total=1166496 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=153 V=-1 stage1_total=0 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=154 V=0.0000000000 stage1_total=1166496 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=155 V=-1 stage1_total=0 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=156 V=70.4570834199 stage1_total=47826404 ltV=23498472 ltV2=1739534 ltV4=5152 ltV8=313
query=157 V=-1 stage1_total=0 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=158 V=84.1613211446 stage1_total=29162475 ltV=20347929 ltV2=2241102 ltV4=11960 ltV8=258
query=159 V=-1 stage1_total=0 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=160 V=-1 stage1_total=0 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=161 V=183.1615173215 stage1_total=114317391 ltV=110043549 ltV2=33991661 ltV4=3294927 ltV8=36721
query=162 V=39.2951514031 stage1_total=11665867 ltV=2309694 ltV2=49539 ltV4=2423 ltV8=1597
query=163 V=-1 stage1_total=0 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=164 V=78.7333126413 stage1_total=188973051 ltV=93328583 ltV2=6874454 ltV4=24063 ltV8=553
query=165 V=0.0000000000 stage1_total=1166496 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=166 V=103.2752151012 stage1_total=114317007 ltV=84901828 ltV2=6454491 ltV4=399071 ltV8=1021
query=167 V=203.1837712041 stage1_total=114316850 ltV=112151175 ltV2=34941254 ltV4=4010947 ltV8=367644
query=168 V=-1 stage1_total=0 ltV=0 ltV2=0 ltV4=0 ltV8=0
query=169 V=89.5146443974 stage1_total=29162421 ltV=21464867 ltV2=2234726 ltV4=30238 ltV8=209
