# Run started=2026-07-13 20:20:42 graph=Toronto method=ReleaseV4 data_root=data graph_folder=data\Toronto query_file=query.txt run_subdir=default original_query_count=160 query_begin=1 query_limit=-1 query_count=160 result_dir=result\Toronto\ReleaseV4\default rss_mb=15.828 peak_rss_mb=15.832
query=103 best=0.0847716374 wall_ms=179.960 rss_before_mb=16.516 rss_after_mb=16.484 peak_rss_mb=24.820
query=104 best=0.1038633608 wall_ms=167.622 rss_before_mb=16.484 rss_after_mb=16.516 peak_rss_mb=24.820
query=105 best=0.1218783761 wall_ms=172.952 rss_before_mb=16.516 rss_after_mb=16.453 peak_rss_mb=24.820
query=106 best=0.0770529822 wall_ms=174.881 rss_before_mb=16.453 rss_after_mb=16.445 peak_rss_mb=24.820
query=107 best=0.1606689432 wall_ms=175.325 rss_before_mb=16.445 rss_after_mb=16.445 peak_rss_mb=24.820
query=108 best=0.0967607424 wall_ms=161.656 rss_before_mb=16.445 rss_after_mb=16.449 peak_rss_mb=24.820
query=109 best=0.1192005701 wall_ms=160.699 rss_before_mb=16.449 rss_after_mb=16.449 peak_rss_mb=24.820
query=110 best=0.0987925985 wall_ms=156.273 rss_before_mb=16.449 rss_after_mb=16.430 peak_rss_mb=24.820
query=111 best=0.0222803716 wall_ms=155.210 rss_before_mb=16.430 rss_after_mb=16.453 peak_rss_mb=24.820
query=112 best=0.0485864135 wall_ms=164.827 rss_before_mb=16.453 rss_after_mb=16.449 peak_rss_mb=24.820
query=113 best=0.0201695323 wall_ms=151.520 rss_before_mb=16.449 rss_after_mb=16.801 peak_rss_mb=24.820
query=114 best=0.0361456552 wall_ms=162.857 rss_before_mb=16.801 rss_after_mb=16.801 peak_rss_mb=24.820
query=115 best=0.0124022014 wall_ms=174.849 rss_before_mb=16.801 rss_after_mb=16.438 peak_rss_mb=24.820
query=116 best=0.0524396708 wall_ms=157.141 rss_before_mb=16.438 rss_after_mb=16.465 peak_rss_mb=24.820
query=117 best=0.0421237264 wall_ms=167.539 rss_before_mb=16.465 rss_after_mb=16.457 peak_rss_mb=24.820
query=118 best=0.0431895205 wall_ms=176.220 rss_before_mb=16.457 rss_after_mb=16.457 peak_rss_mb=24.820
query=119 best=0.0303449503 wall_ms=148.390 rss_before_mb=16.457 rss_after_mb=16.469 peak_rss_mb=24.820
query=120 best=0.0227487779 wall_ms=169.969 rss_before_mb=16.469 rss_after_mb=16.824 peak_rss_mb=24.820
query=121 best=0.4645755983 wall_ms=261.587 rss_before_mb=16.824 rss_after_mb=16.492 peak_rss_mb=24.820
query=122 best=0.5977826426 wall_ms=310.110 rss_before_mb=16.492 rss_after_mb=16.883 peak_rss_mb=25.277
query=123 best=0.6044561862 wall_ms=384.070 rss_before_mb=16.883 rss_after_mb=16.879 peak_rss_mb=25.781
query=124 best=0.5355708872 wall_ms=287.992 rss_before_mb=16.879 rss_after_mb=16.730 peak_rss_mb=25.781
query=125 best=0.5478016011 wall_ms=323.601 rss_before_mb=16.730 rss_after_mb=16.512 peak_rss_mb=25.781
query=126 best=0.4489610973 wall_ms=265.484 rss_before_mb=16.512 rss_after_mb=16.566 peak_rss_mb=25.781
query=127 best=0.4991497650 wall_ms=265.240 rss_before_mb=16.566 rss_after_mb=16.844 peak_rss_mb=25.781
query=128 best=0.5384528725 wall_ms=237.849 rss_before_mb=16.844 rss_after_mb=16.535 peak_rss_mb=25.781
query=129 best=0.5796148141 wall_ms=284.498 rss_before_mb=16.535 rss_after_mb=16.594 peak_rss_mb=25.781
query=130 best=0.4934993639 wall_ms=261.319 rss_before_mb=16.594 rss_after_mb=16.668 peak_rss_mb=25.781
query=131 best=0.2063265308 wall_ms=229.419 rss_before_mb=16.668 rss_after_mb=17.082 peak_rss_mb=25.781
query=132 best=0.2745577345 wall_ms=285.164 rss_before_mb=17.082 rss_after_mb=17.070 peak_rss_mb=25.781
query=133 best=0.3102870063 wall_ms=284.322 rss_before_mb=17.070 rss_after_mb=17.047 peak_rss_mb=25.953
query=134 best=0.3192687896 wall_ms=272.996 rss_before_mb=17.047 rss_after_mb=16.738 peak_rss_mb=25.953
query=135 best=0.2498433891 wall_ms=243.783 rss_before_mb=16.738 rss_after_mb=17.105 peak_rss_mb=25.953
query=136 best=0.3387405513 wall_ms=290.733 rss_before_mb=17.105 rss_after_mb=16.676 peak_rss_mb=25.953
query=137 best=0.2998070533 wall_ms=249.392 rss_before_mb=16.676 rss_after_mb=17.133 peak_rss_mb=25.953
query=138 best=0.2873335398 wall_ms=248.349 rss_before_mb=17.191 rss_after_mb=17.152 peak_rss_mb=25.953
query=139 best=0.1850868700 wall_ms=214.670 rss_before_mb=17.152 rss_after_mb=17.152 peak_rss_mb=25.953
query=140 best=0.3150045202 wall_ms=270.093 rss_before_mb=17.152 rss_after_mb=16.797 peak_rss_mb=25.953
query=141 best=0.1423328883 wall_ms=220.631 rss_before_mb=16.797 rss_after_mb=16.656 peak_rss_mb=25.953
query=142 best=0.0539184700 wall_ms=182.191 rss_before_mb=16.656 rss_after_mb=16.672 peak_rss_mb=25.953
query=143 best=0.1083503942 wall_ms=203.429 rss_before_mb=16.672 rss_after_mb=17.086 peak_rss_mb=25.953
query=144 best=0.1208387653 wall_ms=220.075 rss_before_mb=17.086 rss_after_mb=16.738 peak_rss_mb=25.953
query=145 best=0.1212606347 wall_ms=223.297 rss_before_mb=16.738 rss_after_mb=17.078 peak_rss_mb=25.953
query=146 best=0.0223105699 wall_ms=185.482 rss_before_mb=17.078 rss_after_mb=16.738 peak_rss_mb=25.953
query=147 best=0.1241015711 wall_ms=199.211 rss_before_mb=16.738 rss_after_mb=17.082 peak_rss_mb=25.953
query=148 best=0.0551191947 wall_ms=191.885 rss_before_mb=17.082 rss_after_mb=17.059 peak_rss_mb=25.953
